"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:281337","urn:lsid:marinespecies.org:taxname:281337","Letholycus magellanicus","Letholycus magellanicus","Actinopteri","Perciformes","Zoarcidae","Letholycus","accepted",281337
"urn:lsid:marinespecies.org:taxname:281338","urn:lsid:marinespecies.org:taxname:281338","Letholycus microphthalmus","Letholycus microphthalmus","Actinopteri","Perciformes","Zoarcidae","Letholycus","accepted",281338
"urn:lsid:marinespecies.org:taxname:281339","urn:lsid:marinespecies.org:taxname:281339","Leucicorus atlanticus","Leucicorus atlanticus","Actinopteri","Ophidiiformes","Ophidiidae","Leucicorus","accepted",281339
"urn:lsid:marinespecies.org:taxname:281340","urn:lsid:marinespecies.org:taxname:281340","Leucicorus lusciosus","Leucicorus lusciosus","Actinopteri","Ophidiiformes","Ophidiidae","Leucicorus","accepted",281340
"urn:lsid:marinespecies.org:taxname:281341","urn:lsid:marinespecies.org:taxname:281341","Leucopsarion petersii","Leucopsarion petersii","Actinopteri","Gobiiformes","Gobiidae","Leucopsarion","accepted",281341
"urn:lsid:marinespecies.org:taxname:281343","urn:lsid:marinespecies.org:taxname:281343","Leuresthes sardina","Leuresthes sardina","Actinopteri","Atheriniformes","Atherinidae","Leuresthes","accepted",281343
"urn:lsid:marinespecies.org:taxname:281344","urn:lsid:marinespecies.org:taxname:281344","Leuresthes tenuis","Leuresthes tenuis","Actinopteri","Atheriniformes","Atherinidae","Leuresthes","accepted",281344
"urn:lsid:marinespecies.org:taxname:281345","urn:lsid:marinespecies.org:taxname:281345","Leurochilus acon","Leurochilus acon","Actinopteri","Blenniiformes","Dactyloscopidae","Leurochilus","accepted",281345
"urn:lsid:marinespecies.org:taxname:281346","urn:lsid:marinespecies.org:taxname:281346","Leuropharus lasiops","Leuropharus lasiops","Actinopteri","Anguilliformes","Ophichthidae","Leuropharus","accepted",281346
"urn:lsid:marinespecies.org:taxname:281347","urn:lsid:marinespecies.org:taxname:281347","Leviprora inops","Leviprora inops","Actinopteri","Perciformes","Platycephalidae","Leviprora","accepted",281347
"urn:lsid:marinespecies.org:taxname:281348","urn:lsid:marinespecies.org:taxname:281348","Liachirus melanospilos","Liachirus melanospilos","Actinopteri","Pleuronectiformes","Soleidae","Liachirus","accepted",281348
